"SVAD_identifier","SEX","agey","FDL","FMSB","FDB","TDL","TPB","TMSB","TDB","FBDL","HDL","HPB","HMSB","HDB","RDL","RPB","RMSB","RDB","UDL","UMSB","max_M1","max_M2","max_M3","max_PM1","max_PM2","max_C","max_I1","max_I2","man_M1","man_M2","man_M3","man_PM1","man_PM2","man_C","man_I1","man_I2","FH_EF","FGT_EF","FLT_EF","FDE_EF","TPE_EF","TDE_EF","FBPE_EF","FBDE_EF","HH_Oss","HGT_Oss","HLT_Oss","HPE_EF","HC_Oss","HT_Oss","HLE_Oss","HDE_EF","HME_EF","RPE_EF","RDE_EF","UPE_EF","UDE_EF","CT_EF","CC_Oss","TC_Oss","ISPR_EF","ILIS_EF","PC_Oss","IC_EF"
"US_0902","F",18.46406571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0120","F",18.34086242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0641","F",18.68309377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0067","F",20.64887064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,10,11,11,11,11,11,11,11,10,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"US_0202","F",18.35728953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,3,3,3,3,3,3,NA,8,NA,2,2,NA,3
"US_0194","F",15.6386037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,7,11,11,11,11,11,11,11,7,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0995","F",17.64818617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,9,11,11,11,11,11,11,11,9,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"US_1019","F",18.17808219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,11,11,11,11,11,11,11,NA,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_1043","F",19.44657534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0322","F",19.95068493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,11,11,11,11,11,11,11,NA,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
